State,Participant,BreathRate_Mean,RVT,RRV_MeanBB,RRV_SD
Resting_2,P1,13.542894556470788,1812.5055501673642,4613.1621621621625,1222.6621116587014
Resting_2,P10,17.531745730610783,2154.793022885957,3512.5106382978724,1314.0088066528901
Resting_2,P11,16.665320674264233,4157.933931814085,3627.6382978723404,1019.067986263929
Resting_2,P12,32.42705630404578,928.6420721033161,1855.7692307692307,744.6822095756196
Resting_2,P2,19.86510838659748,854.3307483785142,3044.051724137931,578.6307342589682
Resting_2,P3,21.072864911697764,1250.6190767640505,2908.046875,1102.5182400006133
Resting_2,P4,12.879263594859134,2654.069945023624,4713.0,1290.246870075549
Resting_2,P5,15.012518837418682,1195.858490623393,4107.35,1747.5185728964607
Resting_2,P6,20.543968096173682,887.8385715192369,2990.714285714286,873.9951908349917
Resting_2,P7,14.900791981816763,5041.509919880486,4022.3333333333335,594.9941888422924
Resting_2,P8,17.045688128821006,829.675788946091,3561.6744186046512,749.1180389210593
Resting_2,P9,18.299490299973897,2912.39509807304,3338.3584905660377,897.183613572521
